index,breed_primary,size
26138,Belgian Shepherd / Malinois,Large
26139,German Shepherd Dog,Large
26140,German Shepherd Dog,Large
26141,German Shepherd Dog,Large
26142,German Shepherd Dog,Large
26143,German Shepherd Dog,Large
26144,German Shepherd Dog,Large
26145,German Shepherd Dog,Large
26146,German Shepherd Dog,Large
26147,Shepherd,Large
26148,German Shepherd Dog,Large
26149,American Bulldog,Medium
26150,German Shepherd Dog,Large
26151,German Shepherd Dog,Large
26152,German Shepherd Dog,Large
26153,German Shepherd Dog,Large
26154,German Shepherd Dog,Large
26155,German Shepherd Dog,Large
26156,German Shepherd Dog,Large
26157,Retriever,Large
26158,Pit Bull Terrier,Large
26159,Labrador Retriever,Large
26160,Labrador Retriever,Medium
26161,Cattle Dog,Medium
26162,Labrador Retriever,Medium
26163,Hound,Medium
26164,Labrador Retriever,Large
26165,Labrador Retriever,Medium
26166,Shar-Pei,Medium
26167,American Bulldog,Medium
26168,Hound,Medium
26169,American Bulldog,Medium
26170,Labrador Retriever,Medium
26171,Labrador Retriever,Medium
26172,American Bulldog,Medium
26173,Mixed Breed,Large
26174,American Bulldog,Medium
26175,American Bulldog,Large
26176,German Shepherd Dog,Large
26177,Boxer,Medium
26178,Staffordshire Bull Terrier,Medium
26179,Terrier,Medium
26180,Boxer,Medium
26181,Bull Terrier,Medium
26182,Labrador Retriever,Medium
26183,Belgian Shepherd / Malinois,Large
26184,Hound,Medium
26185,Pointer,Large
26186,Great Dane,Medium
26187,Husky,Medium
26188,Labrador Retriever,Large
26189,Labrador Retriever,Large
26190,Labrador Retriever,Medium
26191,Doberman Pinscher,Large
26192,Terrier,Large
26193,Staffordshire Bull Terrier,Medium
26194,Chihuahua,Small
26195,Great Pyrenees,Large
26196,Hound,Large
26197,Labrador Retriever,Large
26198,Terrier,Large
26199,Husky,Medium
26200,Husky,Medium
26201,Labrador Retriever,Large
26202,Labrador Retriever,Medium
26203,Pit Bull Terrier,Large
26204,Siberian Husky,Large
26205,Catahoula Leopard Dog,Medium
26206,Pit Bull Terrier,Medium
26207,Labrador Retriever,Medium
26208,Labrador Retriever,Medium
26209,Shepherd,Medium
26210,Pit Bull Terrier,Large
26211,Pit Bull Terrier,Medium
26212,Boxer,Large
26213,American Bulldog,Medium
26214,Mixed Breed,Medium
26215,Plott Hound,Medium
26216,Hound,Medium
26217,Rottweiler,Medium
26218,American Bulldog,Medium
26219,Boxer,Medium
26220,American Bulldog,Large
26221,Pit Bull Terrier,Medium
26222,Pit Bull Terrier,Medium
26223,Great Pyrenees,Large
26224,Mixed Breed,Large
26225,Pit Bull Terrier,Medium
26226,Mixed Breed,Large
26227,Australian Shepherd,Large
26228,Mixed Breed,Large
26229,Golden Retriever,Medium
26230,Labrador Retriever,Large
26231,Hound,Medium
26232,Mixed Breed,Medium
26233,Mixed Breed,Medium
26234,Labrador Retriever,Medium
26235,Pit Bull Terrier,Medium
26236,Mixed Breed,Medium
26237,Mixed Breed,Large
26238,Border Collie,Medium
26239,Labrador Retriever,Medium
26240,Hound,Medium
26241,Hound,Medium
26242,Labrador Retriever,Medium
26243,Pit Bull Terrier,Medium
26244,Collie,Medium
26245,Siberian Husky,Large
26246,Pit Bull Terrier,Medium
26247,Chihuahua,Small
26248,Chihuahua,Small
26249,Black and Tan Coonhound,Medium
26250,Maltese,Small
26251,Maltese,Small
26252,Schnauzer,Small
26253,Pit Bull Terrier,Medium
26254,Patterdale Terrier / Fell Terrier,Medium
26255,Boxer,Large
26256,Mixed Breed,Large
26257,Mixed Breed,Large
26258,Shepherd,Large
26259,Mixed Breed,Large
26260,Mixed Breed,Large
26261,Pit Bull Terrier,Medium
26262,Mixed Breed,Large
26263,German Shepherd Dog,Medium
26264,Staffordshire Bull Terrier,Medium
26265,Staffordshire Bull Terrier,Medium
26266,Rottweiler,Large
26267,German Shepherd Dog,Medium
26268,Pit Bull Terrier,Medium
26269,Pit Bull Terrier,Small
26270,Bull Terrier,Large
26271,Bull Terrier,Medium
26272,Labrador Retriever,Medium
26273,Terrier,Small
26274,Pit Bull Terrier,Large
26275,Pit Bull Terrier,Large
26276,Pit Bull Terrier,Medium
26277,Terrier,Medium
26278,Beagle,Medium
26279,Chow Chow,Medium
26280,Pit Bull Terrier,Medium
26281,Chow Chow,Medium
26282,Mixed Breed,Medium
26283,Pit Bull Terrier,Medium
26284,Labrador Retriever,Medium
26285,Labrador Retriever,Medium
26286,Labrador Retriever,Medium
26287,Pit Bull Terrier,Medium
26288,Boxer,Medium
26289,Labrador Retriever,Medium
26290,Chow Chow,Medium
26291,Shepherd,Medium
26292,Labrador Retriever,Medium
26293,Pit Bull Terrier,Large
26294,Mixed Breed,Large
26295,Mixed Breed,Medium
26296,Mixed Breed,Large
26297,Pit Bull Terrier,Medium
26298,American Bulldog,Large
26299,Mixed Breed,Medium
26300,Mixed Breed,Medium
26301,Pit Bull Terrier,Medium
26302,Mixed Breed,Medium
26303,Mixed Breed,Medium
26304,Pit Bull Terrier,Medium
26305,Chihuahua,Small
26306,Pit Bull Terrier,Medium
26307,Jack Russell Terrier,Small
26308,Jack Russell Terrier,Small
26309,Chihuahua,Small
26310,Chihuahua,Small
26311,Mixed Breed,Large
26312,Pit Bull Terrier,Medium
26313,Mixed Breed,Large
26314,Mixed Breed,Medium
26315,Black Labrador Retriever,Medium
26316,Mixed Breed,Medium
26317,Pit Bull Terrier,Medium
26318,Shih Tzu,Small
26319,Pit Bull Terrier,Medium
26320,Mastiff,Extra Large
26321,Mixed Breed,Large
26322,Pit Bull Terrier,Medium
26323,Mixed Breed,Medium
26324,Labrador Retriever,Medium
26325,Mixed Breed,Medium
26326,Mixed Breed,Large
26327,Pit Bull Terrier,Large
26328,Pit Bull Terrier,Medium
26329,Mixed Breed,Medium
26330,Beagle,Small
26331,Beagle,Small
26332,Collie,Medium
26333,Rottweiler,Large
26334,American Bulldog,Medium
26335,American Bulldog,Medium
26336,Mixed Breed,Medium
26337,Mixed Breed,Medium
26338,Beagle,Small
26339,Coonhound,Large
26340,Pit Bull Terrier,Small
26341,Staffordshire Bull Terrier,Medium
26342,Pit Bull Terrier,Medium
26343,Cavalier King Charles Spaniel,Small
26344,Mixed Breed,Large
26345,Mixed Breed,Large
26346,Mixed Breed,Large
26347,Pointer,Medium
26348,Pointer,Medium
26349,Bull Terrier,Medium
26350,Labrador Retriever,Extra Large
26351,Hound,Medium
26352,Pit Bull Terrier,Medium
26353,Pit Bull Terrier,Small
26354,Pit Bull Terrier,Medium
26355,Staffordshire Bull Terrier,Medium
26356,Shepherd,Medium
26357,Jindo,Medium
26358,Boxer,Medium
26359,American Bulldog,Large
26360,Shepherd,Large
26361,Australian Shepherd,Large
26362,Mixed Breed,Large
26363,Mixed Breed,Large
26364,Mixed Breed,Large
26365,Patterdale Terrier / Fell Terrier,Medium
26366,Labrador Retriever,Medium
26367,Mixed Breed,Large
26368,Mixed Breed,Small
26369,Mixed Breed,Large
26370,Black Labrador Retriever,Medium
26371,Hound,Medium
26372,Labrador Retriever,Medium
26373,Akita,Large
26374,Pit Bull Terrier,Medium
26375,Labrador Retriever,Medium
26376,Mixed Breed,Large
26377,Mixed Breed,Large
26378,Mixed Breed,Large
26379,Pit Bull Terrier,Large
26380,Mixed Breed,Large
26381,Labrador Retriever,Large
26382,Siberian Husky,Large
26383,German Shepherd Dog,Large
26384,Mixed Breed,Medium
26385,Shepherd,Medium
26386,Labrador Retriever,Medium
26387,German Shepherd Dog,Medium
26388,Shepherd,Small
26389,Hound,Small
26390,Blue Lacy,Medium
26391,Pit Bull Terrier,Medium
26392,Pit Bull Terrier,Medium
26393,Chihuahua,Small
26394,Chihuahua,Small
26395,Parson Russell Terrier,Medium
26396,Chihuahua,Small
26397,Miniature Pinscher,Small
26398,Corgi,Small
26399,Pit Bull Terrier,Medium
26400,Boxer,Medium
26401,Shar-Pei,Medium
26402,Shar-Pei,Medium
26403,Shar-Pei,Medium
26404,Mixed Breed,Medium
26405,Mixed Breed,Large
26406,Border Collie,Large
26407,Labrador Retriever,Medium
26408,Chow Chow,Medium
26409,Mixed Breed,Large
26410,Mixed Breed,Medium
26411,Labrador Retriever,Medium
26412,Mixed Breed,Large
26413,Mixed Breed,Medium
26414,Pit Bull Terrier,Medium
26415,Mixed Breed,Medium
26416,Pit Bull Terrier,Medium
26417,Catahoula Leopard Dog,Medium
26418,Pug,Medium
26419,Mixed Breed,Medium
26420,Bull Terrier,Medium
26421,Labrador Retriever,Medium
26422,English Bulldog,Medium
26423,Mixed Breed,Large
26424,American Staffordshire Terrier,Large
26425,Catahoula Leopard Dog,Medium
26426,Labrador Retriever,Medium
26427,American Staffordshire Terrier,Medium
26428,Pit Bull Terrier,Medium
26429,Terrier,Medium
26430,Terrier,Medium
26431,Pit Bull Terrier,Medium
26432,German Shorthaired Pointer,Medium
26433,American Bulldog,Large
26434,Mixed Breed,Medium
26435,Mixed Breed,Medium
26436,Patterdale Terrier / Fell Terrier,Medium
26437,Labrador Retriever,Medium
26438,Great Pyrenees,Large
26439,Great Pyrenees,Large
26440,Australian Shepherd,Medium
26441,Pit Bull Terrier,Large
26442,Labrador Retriever,Medium
26443,Mixed Breed,Medium
26444,Mixed Breed,Small
26445,Labrador Retriever,Small
26446,Doberman Pinscher,Large
26447,Pit Bull Terrier,Medium
26448,Hound,Large
26449,Siberian Husky,Large
26450,Presa Canario,Large
26451,Pit Bull Terrier,Small
26452,Pit Bull Terrier,Small
26453,Pointer,Large
26454,Rottweiler,Large
26455,Shepherd,Medium
26456,Pit Bull Terrier,Medium
26457,Belgian Shepherd / Malinois,Medium
26458,Pit Bull Terrier,Large
26459,American Bulldog,Large
26460,Labrador Retriever,Medium
26461,Labrador Retriever,Medium
26462,Labrador Retriever,Medium
26463,Pit Bull Terrier,Medium
26464,American Bulldog,Large
26465,Pit Bull Terrier,Large
26466,Pit Bull Terrier,Medium
26467,Collie,Medium
26468,Border Collie,Medium
26469,Border Collie,Medium
26470,Mixed Breed,Medium
26471,Pointer,Medium
26472,Pointer,Medium
26473,Doberman Pinscher,Medium
26474,Labrador Retriever,Medium
26475,Staffordshire Bull Terrier,Medium
26476,Labrador Retriever,Medium
26477,Terrier,Medium
26478,Shepherd,Large
26479,Australian Cattle Dog / Blue Heeler,Medium
26480,Terrier,Medium
26481,Mixed Breed,Medium
26482,Mixed Breed,Large
26483,Mixed Breed,Medium
26484,Mixed Breed,Medium
26485,Mixed Breed,Medium
26486,Mixed Breed,Medium
26487,Mixed Breed,Medium
26488,Mixed Breed,Medium
26489,Mixed Breed,Medium
26490,Mixed Breed,Medium
26491,Mixed Breed,Medium
26492,Mixed Breed,Medium
26493,Mixed Breed,Medium
26494,Mixed Breed,Medium
26495,Mixed Breed,Medium
26496,Mixed Breed,Medium
26497,American Bulldog,Medium
26498,Cocker Spaniel,Medium
26499,Pit Bull Terrier,Medium
26500,Pit Bull Terrier,Medium
26501,Hound,Large
26502,Boxer,Medium
26503,Mixed Breed,Medium
26504,Mixed Breed,Medium
26505,Mixed Breed,Medium
26506,Mixed Breed,Large
26507,Boxer,Medium
26508,Retriever,Medium
26509,American Bulldog,Medium
26510,Mixed Breed,Medium
26511,Labrador Retriever,Large
26512,Labrador Retriever,Medium
26513,Retriever,Medium
26514,Pit Bull Terrier,Medium
26515,Pit Bull Terrier,Medium
26516,Mixed Breed,Large
26517,Pit Bull Terrier,Medium
26518,Beagle,Medium
26519,Labrador Retriever,Medium
26520,Mixed Breed,Large
26521,Dachshund,Small
26522,Pit Bull Terrier,Large
26523,Pit Bull Terrier,Medium
26524,Pit Bull Terrier,Medium
26525,Great Dane,Large
26526,Cattle Dog,Large
26527,Pit Bull Terrier,Large
26528,Pit Bull Terrier,Large
26529,Chow Chow,Large
26530,Pit Bull Terrier,Large
26531,Plott Hound,Medium
26532,Shih Tzu,Small
26533,Terrier,Small
26534,Chihuahua,Small
26535,American Bulldog,Medium
26536,Pit Bull Terrier,Medium
26537,Mixed Breed,Large
26538,Mixed Breed,Medium
26539,Mixed Breed,Medium
26540,German Shepherd Dog,Small
26541,American Bulldog,Large
26542,Pit Bull Terrier,Medium
26543,American Bulldog,Large
26544,Mixed Breed,Large
26545,Mixed Breed,Large
26546,Mixed Breed,Medium
26547,Pit Bull Terrier,Medium
26548,Labrador Retriever,Large
26549,American Bulldog,Medium
26550,Pit Bull Terrier,Medium
26551,American Staffordshire Terrier,Medium
26552,Mixed Breed,Large
26553,Mixed Breed,Large
26554,Labrador Retriever,Large
26555,Pit Bull Terrier,Large
26556,Pit Bull Terrier,Large
26557,Mixed Breed,Large
26558,Bull Terrier,Medium
26559,Boxer,Medium
26560,Whippet,Small
26561,Whippet,Small
26562,Corgi,Small
26563,Chocolate Labrador Retriever,Medium
26564,Mixed Breed,Large
26565,Miniature Pinscher,Small
26566,Mixed Breed,Medium
26567,Boxer,Medium
26568,Pit Bull Terrier,Medium
26569,Rottweiler,Large
26570,Pit Bull Terrier,Large
26571,American Bulldog,Medium
26572,Rottweiler,Large
26573,Shepherd,Medium
26574,American Bulldog,Medium
26575,Mixed Breed,Medium
26576,Mixed Breed,Large
26577,Basset Hound,Medium
26578,Pit Bull Terrier,Medium
26579,German Shepherd Dog,Large
26580,Labrador Retriever,Medium
26581,Pit Bull Terrier,Medium
26582,Collie,Medium
26583,American Staffordshire Terrier,Medium
26584,Boxer,Medium
26585,Pit Bull Terrier,Small
26586,Labrador Retriever,Large
26587,Mixed Breed,Large
26588,Pit Bull Terrier,Large
26589,Pit Bull Terrier,Medium
26590,Pit Bull Terrier,Medium
26591,Shepherd,Medium
26592,Pit Bull Terrier,Medium
26593,Mixed Breed,Medium
26594,Mixed Breed,Large
26595,Mixed Breed,Medium
26596,Labrador Retriever,Medium
26597,Pit Bull Terrier,Medium
26598,Mixed Breed,Large
26599,Pit Bull Terrier,Medium
26600,Labrador Retriever,Medium
26601,Chihuahua,Small
26602,German Shepherd Dog,Medium
26603,Pit Bull Terrier,Medium
26604,Mixed Breed,Large
26605,Pit Bull Terrier,Medium
26606,Mixed Breed,Large
26607,Pit Bull Terrier,Medium
26608,Labrador Retriever,Large
26609,Dachshund,Small
26610,Chihuahua,Small
26611,Shepherd,Large
26612,American Bulldog,Medium
26613,Chihuahua,Small
26614,Chihuahua,Small
26615,Shepherd,Small
26616,Pit Bull Terrier,Medium
26617,Pit Bull Terrier,Medium
26618,Pit Bull Terrier,Medium
26619,Staffordshire Bull Terrier,Medium
26620,Terrier,Small
26621,Border Collie,Medium
26622,Pit Bull Terrier,Medium
26623,Labrador Retriever,Medium
26624,German Shepherd Dog,Medium
26625,Mixed Breed,Large
26626,Labrador Retriever,Medium
26627,Shih Tzu,Small
26628,Beagle,Small
26629,Schnauzer,Small
26630,Mixed Breed,Small
26631,Pit Bull Terrier,Medium
26632,Labrador Retriever,Medium
26633,Shepherd,Medium
26634,Staffordshire Bull Terrier,Medium
26635,Presa Canario,Extra Large
26636,Rottweiler,Large
26637,Pit Bull Terrier,Medium
26638,Boxer,Medium
26639,Akita,Large
26640,Mixed Breed,Large
26641,Pit Bull Terrier,Small
26642,Great Dane,Large
26643,Pit Bull Terrier,Large
26644,Cane Corso,Extra Large
26645,Pit Bull Terrier,Medium
26646,Chihuahua,Small
26647,Pit Bull Terrier,Medium
26648,Boxer,Medium
26649,Pit Bull Terrier,Medium
26650,Pit Bull Terrier,Medium
26651,Terrier,Medium
26652,Labrador Retriever,Large
26653,Pit Bull Terrier,Medium
26654,American Staffordshire Terrier,Large
26655,Mixed Breed,Medium
26656,Mixed Breed,Medium
26657,Pit Bull Terrier,Medium
26658,Chow Chow,Medium
26659,Mixed Breed,Medium
26660,Mixed Breed,Medium
26661,Pit Bull Terrier,Medium
26662,Labrador Retriever,Medium
26663,Pit Bull Terrier,Medium
26664,Chow Chow,Medium
26665,Pit Bull Terrier,Medium
26666,Pit Bull Terrier,Medium
26667,Mixed Breed,Medium
26668,Mixed Breed,Medium
26669,Mixed Breed,Medium
26670,Cocker Spaniel,Small
26671,Retriever,Medium
26672,American Staffordshire Terrier,Medium
26673,Mixed Breed,Medium
26674,Mixed Breed,Medium
26675,Papillon,Small
26676,Shepherd,Medium
26677,Boxer,Large
26678,Mixed Breed,Large
26679,Mixed Breed,Large
26680,Mixed Breed,Large
26681,Mixed Breed,Large
26682,Mixed Breed,Large
26683,Shih Tzu,Small
26684,Pointer,Medium
26685,Terrier,Medium
26686,Terrier,Medium
26687,Retriever,Large
26688,Terrier,Medium
26689,Retriever,Large
26690,Mixed Breed,Large
26691,Mixed Breed,Large
26692,Mixed Breed,Large
26693,Labrador Retriever,Medium
26694,Shepherd,Extra Large
26695,Boxer,Large
26696,Rottweiler,Large
26697,Mixed Breed,Large
26698,German Shepherd Dog,Small
26699,Black Labrador Retriever,Small
26700,American Bulldog,Medium
26701,Hound,Large
26702,Labrador Retriever,Medium
26703,Labrador Retriever,Medium
26704,Pit Bull Terrier,Medium
26705,Mixed Breed,Large
26706,Shepherd,Medium
26707,Shepherd,Medium
26708,Coonhound,Medium
26709,Hound,Medium
26710,Mixed Breed,Large
26711,Mixed Breed,Large
26712,Mixed Breed,Large
26713,Mixed Breed,Large
26714,Border Collie,Medium
26715,Pit Bull Terrier,Medium
26716,Labrador Retriever,Medium
26717,Dachshund,Medium
26718,Dachshund,Small
26719,Labrador Retriever,Small
26720,Whippet,Medium
26721,Mixed Breed,Large
26722,Mixed Breed,Large
26723,Mixed Breed,Medium
26724,Mixed Breed,Large
26725,Mastiff,Extra Large
26726,Pit Bull Terrier,Medium
26727,Chihuahua,Small
26728,Chihuahua,Small
26729,Labrador Retriever,Medium
26730,Labrador Retriever,Medium
26731,Labrador Retriever,Medium
26732,Pit Bull Terrier,Large
26733,Chihuahua,Small
26734,Boxer,Medium
26735,Staffordshire Bull Terrier,Medium
26736,Mixed Breed,Large
26737,Mixed Breed,Medium
26738,Mixed Breed,Large
26739,Labrador Retriever,Medium
26740,Weimaraner,Medium
26741,Labrador Retriever,Medium
26742,American Bulldog,Medium
26743,Collie,Medium
26744,Jack Russell Terrier,Small
26745,Miniature Pinscher,Small
26746,Pit Bull Terrier,Medium
26747,Terrier,Medium
26748,Labrador Retriever,Large
26749,Mixed Breed,Large
26750,Pit Bull Terrier,Medium
26751,Mixed Breed,Medium
26752,Labrador Retriever,Large
26753,Boxer,Medium
26754,Mixed Breed,Large
26755,Pit Bull Terrier,Large
26756,Coonhound,Small
26757,Black Mouth Cur,Medium
26758,Mixed Breed,Medium
26759,Mixed Breed,Large
26760,Boxer,Medium
26761,American Bulldog,Medium
26762,Pit Bull Terrier,Medium
26763,American Bulldog,Medium
26764,Staffordshire Bull Terrier,Medium
26765,Pit Bull Terrier,Medium
26766,Jack Russell Terrier,Small
26767,Jack Russell Terrier,Small
26768,Labrador Retriever,Medium
26769,Pit Bull Terrier,Medium
26770,Terrier,Medium
26771,Shepherd,Large
26772,American Staffordshire Terrier,Large
26773,Shepherd,Medium
26774,Shepherd,Large
26775,Hound,Large
26776,Mixed Breed,Large
26777,Great Dane,Extra Large
26778,Pit Bull Terrier,Large
26779,Plott Hound,Medium
26780,American Bulldog,Medium
26781,Pit Bull Terrier,Large
26782,Mixed Breed,Medium
26783,Boxer,Medium
26784,Chihuahua,Small
26785,Pit Bull Terrier,Medium
26786,American Bulldog,Large
26787,Pit Bull Terrier,Medium
26788,American Bulldog,Medium
26789,Pit Bull Terrier,Medium
26790,Mixed Breed,Medium
26791,Mixed Breed,Large
26792,Mixed Breed,Medium
26793,Boxer,Medium
26794,American Bulldog,Large
26795,Labrador Retriever,Medium
26796,Plott Hound,Medium
26797,Mixed Breed,Large
26798,Labrador Retriever,Medium
26799,Mixed Breed,Medium
26800,Mixed Breed,Medium
26801,Boxer,Medium
26802,Mountain Cur,Medium
26803,Australian Shepherd,Medium
26804,Mixed Breed,Large
26805,Mixed Breed,Large
26806,Pit Bull Terrier,Large
26807,Labrador Retriever,Large
26808,Pit Bull Terrier,Large
26809,Pit Bull Terrier,Medium
26810,Boxer,Medium
26811,Labrador Retriever,Large
26812,Pit Bull Terrier,Medium
26813,Labrador Retriever,Medium
26814,Mixed Breed,Large
26815,Mixed Breed,Large
26816,Boxer,Large
26817,American Bulldog,Medium
26818,Mixed Breed,Medium
26819,Labrador Retriever,Large
26820,German Shepherd Dog,Medium
26821,Labrador Retriever,Large
26822,Schnauzer,Small
26823,Rottweiler,Large
26824,Mixed Breed,Medium
26825,Mixed Breed,Medium
26826,Shepherd,Large
26827,German Shepherd Dog,Medium
26828,Border Collie,Medium
26829,Pit Bull Terrier,Large
26830,Pit Bull Terrier,Medium
26831,Labrador Retriever,Medium
26832,Pit Bull Terrier,Medium
26833,Labrador Retriever,Small
26834,Pit Bull Terrier,Medium
26835,Pit Bull Terrier,Medium
26836,Labrador Retriever,Medium
26837,Chihuahua,Small
26838,Black Mouth Cur,Medium
26839,Pit Bull Terrier,Medium
26840,Pit Bull Terrier,Medium
26841,American Bulldog,Medium
26842,Labrador Retriever,Medium
26843,Rottweiler,Medium
26844,Pit Bull Terrier,Medium
26845,Labrador Retriever,Medium
26846,Pit Bull Terrier,Medium
26847,Pit Bull Terrier,Medium
26848,Pit Bull Terrier,Medium
26849,Labrador Retriever,Medium
26850,Pit Bull Terrier,Medium
26851,Pit Bull Terrier,Medium
26852,Pit Bull Terrier,Medium
26853,Pit Bull Terrier,Large
26854,Pit Bull Terrier,Medium
26855,Pit Bull Terrier,Medium
26856,Pit Bull Terrier,Large
26857,Pit Bull Terrier,Medium
26858,Pit Bull Terrier,Large
26859,Pit Bull Terrier,Small
26860,Labrador Retriever,Small
26861,Pit Bull Terrier,Medium
26862,Pit Bull Terrier,Medium
26863,Pit Bull Terrier,Medium
26864,Pit Bull Terrier,Medium
26865,Pointer,Medium
26866,Labrador Retriever,Medium
26867,German Shepherd Dog,Medium
26868,Labrador Retriever,Medium
26869,Boxer,Medium
26870,Pit Bull Terrier,Medium
26871,Pit Bull Terrier,Medium
26872,Pit Bull Terrier,Medium
26873,Rottweiler,Large
26874,German Shepherd Dog,Medium
26875,Siberian Husky,Medium
26876,Pit Bull Terrier,Medium
26877,German Shepherd Dog,Medium
26878,Pit Bull Terrier,Medium
26879,Labrador Retriever,Medium
26880,Plott Hound,Large
26881,Pit Bull Terrier,Medium
26882,Pit Bull Terrier,Medium
26883,Pit Bull Terrier,Medium
26884,Pit Bull Terrier,Small
26885,Staffordshire Bull Terrier,Medium
26886,German Shepherd Dog,Medium
26887,Pit Bull Terrier,Large
26888,American Bulldog,Medium
26889,Labrador Retriever,Medium
26890,Pit Bull Terrier,Medium
26891,Pit Bull Terrier,Medium
26892,Pit Bull Terrier,Medium
26893,Pit Bull Terrier,Large
26894,Plott Hound,Medium
26895,Pit Bull Terrier,Medium
26896,Pit Bull Terrier,Large
26897,Pit Bull Terrier,Medium
26898,Rottweiler,Large
26899,Pit Bull Terrier,Medium
26900,Pit Bull Terrier,Medium
26901,Chihuahua,Small
26902,Pit Bull Terrier,Medium
26903,Pit Bull Terrier,Medium
26904,Pit Bull Terrier,Medium
26905,Pit Bull Terrier,Medium
26906,Pit Bull Terrier,Medium
26907,Pit Bull Terrier,Medium
26908,Labrador Retriever,Medium
26909,Pit Bull Terrier,Large
26910,Staffordshire Bull Terrier,Medium
26911,Pit Bull Terrier,Medium
26912,Labrador Retriever,Large
26913,Pit Bull Terrier,Large
26914,Pit Bull Terrier,Medium
26915,Pit Bull Terrier,Medium
26916,Pit Bull Terrier,Medium
26917,Beagle,Medium
26918,Labrador Retriever,Large
26919,Pit Bull Terrier,Medium
26920,Pit Bull Terrier,Medium
26921,Pit Bull Terrier,Medium
26922,Pit Bull Terrier,Medium
26923,Labrador Retriever,Small
26924,Pit Bull Terrier,Medium
26925,Pit Bull Terrier,Medium
26926,Labrador Retriever,Medium
26927,Pit Bull Terrier,Medium
26928,Pit Bull Terrier,Medium
26929,German Shepherd Dog,Medium
26930,Pit Bull Terrier,Large
26931,Pit Bull Terrier,Medium
26932,Pit Bull Terrier,Medium
26933,Pit Bull Terrier,Medium
26934,Pit Bull Terrier,Medium
26935,German Shepherd Dog,Medium
26936,Labrador Retriever,Medium
26937,Pit Bull Terrier,Medium
26938,Labrador Retriever,Medium
26939,Pit Bull Terrier,Large
26940,Labrador Retriever,Medium
26941,Pit Bull Terrier,Medium
26942,Pit Bull Terrier,Medium
26943,Labrador Retriever,Medium
26944,Black Mouth Cur,Medium
26945,Shar-Pei,Medium
26946,Presa Canario,Large
26947,Pit Bull Terrier,Medium
26948,Pit Bull Terrier,Medium
26949,Pit Bull Terrier,Medium
26950,Pit Bull Terrier,Medium
26951,Pit Bull Terrier,Medium
26952,Pit Bull Terrier,Medium
26953,Staffordshire Bull Terrier,Medium
26954,Pit Bull Terrier,Large
26955,Pit Bull Terrier,Medium
26956,Boxer,Small
26957,Pit Bull Terrier,Medium
26958,Pit Bull Terrier,Medium
26959,Labrador Retriever,Medium
26960,Pit Bull Terrier,Large
26961,Labrador Retriever,Medium
26962,Pit Bull Terrier,Medium
26963,Pit Bull Terrier,Medium
26964,Labrador Retriever,Medium
26965,American Staffordshire Terrier,Medium
26966,Rottweiler,Medium
26967,Pit Bull Terrier,Medium
26968,Pit Bull Terrier,Small
26969,Labrador Retriever,Small
26970,Pit Bull Terrier,Medium
26971,Pit Bull Terrier,Small
26972,Pit Bull Terrier,Medium
26973,Labrador Retriever,Medium
26974,Pit Bull Terrier,Medium
26975,Labrador Retriever,Large
26976,Pointer,Medium
26977,Black Mouth Cur,Medium
26978,Pit Bull Terrier,Medium
26979,American Bulldog,Medium
26980,Staffordshire Bull Terrier,Medium
26981,Pit Bull Terrier,Medium
26982,Pit Bull Terrier,Medium
26983,Labrador Retriever,Large
26984,Pit Bull Terrier,Medium
26985,Pit Bull Terrier,Medium
26986,Staffordshire Bull Terrier,Small
26987,Pit Bull Terrier,Medium
26988,Pit Bull Terrier,Medium
26989,Labrador Retriever,Large
26990,Labrador Retriever,Medium
26991,Australian Cattle Dog / Blue Heeler,Medium
26992,Australian Cattle Dog / Blue Heeler,Medium
26993,Pit Bull Terrier,Medium
26994,Boxer,Medium
26995,Chesapeake Bay Retriever,Large
26996,Pit Bull Terrier,Medium
26997,Pit Bull Terrier,Medium
26998,Feist,Medium
26999,Pit Bull Terrier,Medium
27000,German Shepherd Dog,Small
27001,Labrador Retriever,Medium
27002,Labrador Retriever,Medium
27003,Pit Bull Terrier,Medium
27004,Labrador Retriever,Medium
27005,American Bulldog,Medium
27006,Mixed Breed,Medium
27007,Staffordshire Bull Terrier,Medium
27008,Boxer,Medium
27009,Whippet,Medium
27010,Mixed Breed,Medium
27011,Mixed Breed,Large
27012,Mixed Breed,Medium
27013,Mixed Breed,Large
27014,Mixed Breed,Medium
27015,Labrador Retriever,Medium
27016,American Bulldog,Large
27017,Pit Bull Terrier,Medium
27018,Miniature Dachshund,Small
27019,Great Pyrenees,Large
27020,Great Pyrenees,Large
27021,Australian Shepherd,Medium
27022,Mixed Breed,Large
27023,Hound,Medium
27024,Mixed Breed,Medium
27025,Mixed Breed,Large
27026,Mixed Breed,Large
27027,Pug,Small
27028,Hound,Medium
27029,Collie,Medium
27030,Mixed Breed,Medium
27031,Mixed Breed,Large
27032,American Staffordshire Terrier,Medium
27033,Shih Tzu,Small
27034,Black Labrador Retriever,Small
27035,Shepherd,Medium
27036,Labrador Retriever,Medium
27037,Mixed Breed,Large
27038,Mixed Breed,Large
27039,Mixed Breed,Large
27040,Rottweiler,Large
27041,Australian Shepherd,Medium
27042,American Bulldog,Extra Large
27043,Miniature Pinscher,Small
27044,Chihuahua,Small
27045,Mixed Breed,Medium
27046,Mixed Breed,Large
27047,Mixed Breed,Large
27048,Mixed Breed,Medium
