index,breed_primary,size
429,Chihuahua,Small
430,Dogo Argentino,Large
431,German Shepherd Dog,Large
432,Yorkshire Terrier,Small
433,Beagle,Medium
434,Terrier,Small
435,Pit Bull Terrier,Large
436,Pit Bull Terrier,Large
437,German Shepherd Dog,Large
438,Doberman Pinscher,Large
439,Terrier,Small
440,Pit Bull Terrier,Medium
441,Mixed Breed,Small
442,Catahoula Leopard Dog,Large
443,Hound,Medium
444,Pit Bull Terrier,Medium
445,Foxhound,Large
446,English Springer Spaniel,Medium
447,Boxer,Large
448,Chihuahua,Small
449,Mixed Breed,Small
450,Pit Bull Terrier,Large
451,Chihuahua,Small
452,Staffordshire Bull Terrier,Medium
453,Labrador Retriever,Medium
454,Pit Bull Terrier,Medium
455,Pit Bull Terrier,Medium
456,Chihuahua,Small
457,Border Collie,Medium
458,Rottweiler,Medium
459,Chihuahua,Small
460,Chihuahua,Small
461,Mastiff,Large
462,Labrador Retriever,Medium
463,Boxer,Medium
464,German Shepherd Dog,Large
465,German Shepherd Dog,Large
466,Chihuahua,Small
467,Shepherd,Large
468,Labrador Retriever,Large
469,Chihuahua,Medium
470,Pit Bull Terrier,Large
471,Labrador Retriever,Large
472,Labrador Retriever,Large
473,Chihuahua,Small
474,Pit Bull Terrier,Medium
475,Chihuahua,Medium
476,Chihuahua,Small
477,Chihuahua,Small
478,Labrador Retriever,Medium
479,Chow Chow,Large
480,American Bulldog,Large
481,American Bulldog,Large
482,Hound,Large
483,Shepherd,Large
484,Labrador Retriever,Large
485,Hound,Large
486,Labrador Retriever,Large
487,Pit Bull Terrier,Medium
488,Boxer,Medium
489,Doberman Pinscher,Large
490,French Bulldog,Medium
491,Dachshund,Small
492,Chihuahua,Small
493,Dachshund,Small
494,Boxer,Large
495,Shar-Pei,Medium
496,Chihuahua,Small
497,Chihuahua,Small
498,Maltese,Small
499,Pit Bull Terrier,Large
500,English Springer Spaniel,Medium
501,Hound,Medium
502,Labrador Retriever,Medium
503,Pit Bull Terrier,Large
504,Beagle,Medium
505,Standard Poodle,Large
506,Chihuahua,Small
507,Shepherd,Medium
508,Yorkshire Terrier,Small
509,Chihuahua,Small
510,Terrier,Small
511,Labrador Retriever,Medium
512,Black Labrador Retriever,Medium
513,American Bulldog,Large
514,Pit Bull Terrier,Medium
515,Cattle Dog,Medium
516,German Shepherd Dog,Large
517,Chihuahua,Small
518,Chihuahua,Small
519,Chihuahua,Small
520,Chihuahua,Small
521,Chihuahua,Small
522,Labrador Retriever,Medium
523,Labrador Retriever,Medium
524,Shepherd,Medium
525,Pit Bull Terrier,Large
526,German Shepherd Dog,Large
527,Labrador Retriever,Large
528,American Bulldog,Large
529,Chihuahua,Small
530,German Shepherd Dog,Large
531,Dachshund,Small
532,Dachshund,Small
533,Pug,Small
534,Labrador Retriever,Large
535,Collie,Medium
536,Shepherd,Medium
537,Chihuahua,Small
538,Beagle,Medium
539,Shar-Pei,Medium
540,Chihuahua,Small
541,Akita,Extra Large
542,Chihuahua,Small
543,Labrador Retriever,Medium
544,Labrador Retriever,Medium
545,Mastiff,Large
546,Pit Bull Terrier,Large
547,Dachshund,Medium
548,Italian Greyhound,Small
549,Chihuahua,Small
550,Chihuahua,Small
551,Italian Greyhound,Small
552,Border Collie,Medium
553,Beagle,Small
554,Mastiff,Large
555,Chihuahua,Small
556,Chihuahua,Small
557,Xoloitzcuintli / Mexican Hairless,Small
558,Belgian Shepherd / Malinois,Medium
559,Labrador Retriever,Large
560,Terrier,Small
561,Pit Bull Terrier,Large
562,Chihuahua,Small
563,Yorkshire Terrier,Small
564,Shih Tzu,Small
565,Labrador Retriever,Large
566,Dachshund,Medium
567,American Staffordshire Terrier,Medium
568,Chihuahua,Small
569,Hound,Large
570,Hound,Large
571,Labrador Retriever,Medium
572,Staffordshire Bull Terrier,Medium
573,Labrador Retriever,Large
574,Labrador Retriever,Medium
575,Chihuahua,Small
576,Pit Bull Terrier,Medium
577,Chow Chow,Medium
578,Chow Chow,Medium
579,Labrador Retriever,Large
580,Pit Bull Terrier,Medium
581,Chihuahua,Small
582,Terrier,Small
583,Chihuahua,Small
584,Pit Bull Terrier,Medium
585,Cattle Dog,Medium
586,American Bulldog,Large
587,American Bulldog,Large
588,American Bulldog,Large
589,Pointer,Medium
590,Pointer,Medium
591,Pit Bull Terrier,Medium
592,Pit Bull Terrier,Large
593,Pit Bull Terrier,Large
594,Dogo Argentino,Large
595,Labrador Retriever,Medium
596,Chihuahua,Small
597,Labrador Retriever,Small
598,Labrador Retriever,Small
599,Labrador Retriever,Large
600,Pit Bull Terrier,Large
601,Labrador Retriever,Large
602,Labrador Retriever,Large
603,Pit Bull Terrier,Medium
604,Pit Bull Terrier,Medium
605,Yorkshire Terrier,Small
606,Boxer,Medium
607,Hound,Medium
608,Chihuahua,Small
609,Pit Bull Terrier,Medium
610,Mastiff,Large
611,Pit Bull Terrier,Large
612,Pit Bull Terrier,Large
613,Pomeranian,Small
614,Pit Bull Terrier,Medium
615,Belgian Shepherd / Malinois,Medium
616,Pit Bull Terrier,Medium
617,Schnauzer,Medium
618,Chihuahua,Small
619,Chihuahua,Small
620,Maltese,Small
621,Chihuahua,Small
622,Rottweiler,Large
623,American Staffordshire Terrier,Medium
624,Terrier,Small
625,American Staffordshire Terrier,Medium
626,Basenji,Medium
627,Basset Hound,Small
628,Pit Bull Terrier,Large
629,Parson Russell Terrier,Small
630,Pit Bull Terrier,Medium
631,Mixed Breed,Medium
632,Chihuahua,Small
633,Jindo,Large
634,Pit Bull Terrier,Medium
635,Pit Bull Terrier,Large
636,Chihuahua,Small
637,Labrador Retriever,Large
638,German Shepherd Dog,Medium
639,American Bulldog,Medium
640,Pomeranian,Small
641,Chihuahua,Small
642,Dachshund,Small
643,German Shepherd Dog,Large
644,German Shepherd Dog,Large
645,Mixed Breed,Large
646,Pit Bull Terrier,Large
647,Labrador Retriever,Large
648,Miniature Pinscher,Small
649,Husky,Medium
650,Pit Bull Terrier,Medium
651,American Staffordshire Terrier,Large
652,Shar-Pei,Medium
653,Mixed Breed,Medium
654,Mixed Breed,Medium
655,Rottweiler,Large
656,Rottweiler,Large
657,Shar-Pei,Medium
658,Border Collie,Large
659,Labrador Retriever,Medium
660,Shepherd,Large
661,Australian Shepherd,Medium
662,American Staffordshire Terrier,Medium
663,Labrador Retriever,Large
664,Dachshund,Small
665,American Staffordshire Terrier,Medium
666,Chihuahua,Small
667,Pit Bull Terrier,Medium
668,American Staffordshire Terrier,Large
669,American Staffordshire Terrier,Medium
670,Chihuahua,Small
671,Border Collie,Medium
672,Australian Cattle Dog / Blue Heeler,Large
673,American Staffordshire Terrier,Large
674,Staffordshire Bull Terrier,Medium
675,Siberian Husky,Large
676,Siberian Husky,Large
677,Siberian Husky,Large
678,Siberian Husky,Large
679,Siberian Husky,Medium
680,Siberian Husky,Medium
681,Shepherd,Medium
682,Pit Bull Terrier,Large
683,Pit Bull Terrier,Medium
684,American Bulldog,Large
685,Pit Bull Terrier,Large
686,Pit Bull Terrier,Large
687,Shepherd,Medium
688,Pit Bull Terrier,Medium
689,Pit Bull Terrier,Large
690,Pit Bull Terrier,Large
691,Pit Bull Terrier,Medium
692,Shepherd,Medium
693,Shiba Inu,Small
694,Staffordshire Bull Terrier,Medium
695,Spaniel,Medium
696,Pit Bull Terrier,Medium
697,Labrador Retriever,Large
698,Pit Bull Terrier,Medium
699,Weimaraner,Medium
700,Chihuahua,Small
701,Border Collie,Medium
702,Pomeranian,Small
703,American Bulldog,Extra Large
704,Corgi,Small
705,Boxer,Medium
706,Pit Bull Terrier,Medium
707,Chihuahua,Small
708,Labrador Retriever,Medium
709,Pit Bull Terrier,Medium
710,Staffordshire Bull Terrier,Medium
711,Pit Bull Terrier,Medium
712,Pit Bull Terrier,Medium
713,Chihuahua,Small
714,Spaniel,Small
715,Pit Bull Terrier,Large
716,Wirehaired Terrier,Small
717,Pit Bull Terrier,Large
718,Pit Bull Terrier,Medium
719,Australian Cattle Dog / Blue Heeler,Medium
720,Shepherd,Medium
721,Spaniel,Small
722,Pit Bull Terrier,Medium
723,Chihuahua,Small
724,Pit Bull Terrier,Medium
725,Shepherd,Medium
726,Siberian Husky,Medium
727,Coonhound,Medium
728,Mastiff,Large
729,Pit Bull Terrier,Large
730,Pit Bull Terrier,Large
731,Pit Bull Terrier,Medium
732,Pit Bull Terrier,Medium
733,Pit Bull Terrier,Medium
734,Border Collie,Medium
735,Boston Terrier,Small
736,Border Collie,Medium
737,Border Collie,Medium
738,Otterhound,Medium
739,Rat Terrier,Small
740,Border Collie,Medium
741,Shepherd,Large
742,Pit Bull Terrier,Medium
743,German Shepherd Dog,Medium
744,German Shepherd Dog,Medium
745,Boxer,Medium
746,Shepherd,Large
747,Pit Bull Terrier,Medium
748,Pit Bull Terrier,Large
749,American Bulldog,Medium
750,Terrier,Small
751,German Shepherd Dog,Medium
752,Shepherd,Medium
753,Chihuahua,Small
754,Pit Bull Terrier,Small
755,Labrador Retriever,Medium
756,Labrador Retriever,Medium
757,Labrador Retriever,Medium
758,Labrador Retriever,Medium
759,Labrador Retriever,Medium
760,Labrador Retriever,Medium
761,Labrador Retriever,Medium
762,Labrador Retriever,Medium
763,Border Collie,Small
764,Australian Shepherd,Small
765,Chihuahua,Small
766,Border Collie,Small
767,Retriever,Small
768,Basenji,Small
769,Cattle Dog,Small
770,Cattle Dog,Small
771,Border Collie,Small
772,Labrador Retriever,Small
773,Border Collie,Small
774,Bloodhound,Small
775,Cattle Dog,Small
776,Cattle Dog,Small
777,Cattle Dog,Small
778,Labrador Retriever,Small
779,Border Collie,Small
780,Cattle Dog,Small
781,Cattle Dog,Small
782,Beagle,Small
783,Shepherd,Medium
784,Terrier,Medium
785,Maltese,Small
786,Weimaraner,Large
787,Yorkshire Terrier,Small
788,Bullmastiff,Large
789,Coonhound,Small
790,Cattle Dog,Small
791,Terrier,Small
792,Border Collie,Medium
793,Boxer,Medium
794,Cattle Dog,Small
795,Cattle Dog,Small
796,Border Collie,Small
797,Border Collie,Medium
798,Border Collie,Large
799,Labrador Retriever,Large
800,Cattle Dog,Small
801,Shih Tzu,Small
802,Labrador Retriever,Small
803,Labrador Retriever,Small
804,Terrier,Small
805,Australian Cattle Dog / Blue Heeler,Small
806,Boxer,Small
807,Pit Bull Terrier,Small
808,Pit Bull Terrier,Small
809,Pit Bull Terrier,Small
810,Bluetick Coonhound,Small
811,Australian Cattle Dog / Blue Heeler,Medium
812,Corgi,Medium
813,Shepherd,Medium
814,Border Collie,Small
815,Border Collie,Small
816,Shepherd,Small
817,Terrier,Small
818,Pit Bull Terrier,Small
819,Border Collie,Small
820,Collie,Small
821,Pit Bull Terrier,Small
822,Retriever,Large
823,Chihuahua,Small
824,Basset Hound,Medium
825,Cane Corso,Medium
826,American Staffordshire Terrier,Medium
827,Pit Bull Terrier,Large
828,Pit Bull Terrier,Small
829,Shepherd,Small
830,Cattle Dog,Small
831,Cairn Terrier,Small
832,Black Labrador Retriever,Small
833,Labrador Retriever,Small
834,Pit Bull Terrier,Small
835,Labrador Retriever,Small
836,Border Collie,Small
837,Pointer,Small
838,Border Collie,Small
839,Shepherd,Small
840,Pit Bull Terrier,Medium
841,Labrador Retriever,Small
842,Boxer,Small
843,Pit Bull Terrier,Medium
844,Australian Cattle Dog / Blue Heeler,Medium
845,Cattle Dog,Small
846,Border Collie,Small
847,Silky Terrier,Small
848,German Shepherd Dog,Small
849,Hound,Medium
850,Boxer,Medium
851,Italian Greyhound,Small
852,Whippet,Medium
853,Bluetick Coonhound,Small
854,Staffordshire Bull Terrier,Small
855,Labrador Retriever,Large
856,Pit Bull Terrier,Small
857,Border Collie,Small
858,Chihuahua,Small
859,Pit Bull Terrier,Small
860,Great Pyrenees,Extra Large
861,Pit Bull Terrier,Large
862,Black Mouth Cur,Small
863,Pit Bull Terrier,Medium
864,Catahoula Leopard Dog,Large
865,Pit Bull Terrier,Medium
866,Labrador Retriever,Small
867,Cattle Dog,Small
868,American Staffordshire Terrier,Large
869,Shepherd,Small
870,Labrador Retriever,Small
871,Pit Bull Terrier,Small
872,Shepherd,Small
873,Belgian Shepherd / Malinois,Small
874,Pit Bull Terrier,Small
875,American Staffordshire Terrier,Medium
876,Pit Bull Terrier,Medium
877,Pit Bull Terrier,Small
878,American Staffordshire Terrier,Medium
879,English Pointer,Small
880,Labrador Retriever,Small
881,Shepherd,Small
882,Pit Bull Terrier,Small
883,Catahoula Leopard Dog,Small
884,Labrador Retriever,Small
885,Pit Bull Terrier,Small
886,Treeing Walker Coonhound,Small
887,Border Collie,Small
888,Pit Bull Terrier,Small
889,Pit Bull Terrier,Medium
890,Pit Bull Terrier,Small
891,Labrador Retriever,Small
892,Cattle Dog,Small
893,Pit Bull Terrier,Small
894,Pit Bull Terrier,Small
895,Border Collie,Small
896,Pit Bull Terrier,Small
897,Pit Bull Terrier,Small
898,Vizsla,Small
899,Akita,Small
900,Hound,Small
901,Pit Bull Terrier,Small
902,Carolina Dog,Small
903,Cattle Dog,Small
904,Pointer,Small
905,Pit Bull Terrier,Small
906,Pit Bull Terrier,Small
907,Pit Bull Terrier,Small
908,Labrador Retriever,Small
909,Pit Bull Terrier,Large
910,Pit Bull Terrier,Large
911,Chow Chow,Small
912,Pit Bull Terrier,Small
913,Rottweiler,Small
914,Pit Bull Terrier,Small
915,Pit Bull Terrier,Small
916,Anatolian Shepherd,Small
917,Retriever,Small
